,pitchid,pitcherid,yearid,throws,height,initspeed,breakx,breakz,initposx,initposz,extension,spinrate,type
2981,1644,465838,2016,L,74,79.71996555,0.746281723,0.81332854,1.8219257830000002,6.014586089,6.155453207000001,2088.418013,SL
2982,18074,221958,2015,L,73,88.93926344,8.500723793999999,13.13425898,2.507586595,6.101614268,6.168492235,2163.143166,FB
2983,2787,359178,2015,R,76,87.10080291,-4.9346147060000005,7.562713241,-1.5445900909999999,6.179456135,6.076249982,1937.3852940000002,SI
2984,8454,221958,2016,L,73,85.98640608,10.19644807,5.807672677,2.566640375,6.184900876,5.776119155,1886.355322,CU
2985,1476,359178,2015,R,76,94.44294862,-7.629970715,9.487762608999999,-1.738648994,6.339825309,6.304937716,2255.11688,CU
2986,12636,231932,2015,R,72,84.51718173,-9.466576244,1.6595513430000002,-1.689171846,5.515476446,6.673876786,1530.123136,SI
2987,14974,465838,2015,L,74,92.9760505,9.933892282999999,6.388378026,1.720275385,6.069708075,6.028951042999999,2195.9715579999997,CU
2988,8630,231932,2015,R,72,89.74606313,-5.607233814,3.6749444189999996,-1.673140986,5.412341603,6.109783415,1710.856883,CU
2989,5683,465838,2015,L,74,81.58404200000001,-0.143520379,0.9782772809999999,1.884810849,6.1082736870000005,6.311992665,2457.070626,SL
2990,6951,221958,2017,L,73,86.18939366,5.434379912000001,10.52788577,2.598810425,6.163039684,6.01479861,1971.416402,FB
2991,10345,359178,2015,R,76,86.91108094,-8.483384417,4.249619997,-1.8944947580000002,6.021266589,6.107855774,1993.5760149999999,SI
2992,3656,221958,2017,L,73,88.42254416,10.52799725,9.843900417999999,2.8422079339999997,6.167001271,6.437535508,2020.267552,CU
2993,124,231932,2015,R,72,89.86609737,-7.681527872999999,2.490135157,-1.7352337480000002,5.362814405,6.13403795,1811.57749,CU
2994,3556,465838,2015,L,74,79.09178278,0.739425847,1.4789539919999999,2.001246247,6.072220956000001,6.207549072000001,2201.771441,SL
2995,3854,221958,2016,L,73,87.56955854,10.36055454,10.35475928,2.7879267710000004,6.161023506,6.021641446,2031.235452,CU
2996,3620,221958,2015,L,73,71.4320292,-1.853857535,-5.872596764,2.533366975,6.122511866,6.064460414,2328.403625,CB
2997,14390,231932,2015,R,72,85.27804361,-8.105574111000001,5.497168512000001,-1.6212893990000001,5.660629133,6.129657999,1531.943043,SI
2998,15538,465838,2015,L,74,82.1099605,0.751101538,-0.415752251,1.633702554,5.9852638339999995,6.435562479,2404.970759,SL
2999,3223,231932,2015,R,72,82.04397875,2.58502145,-1.013101317,-1.75578554,5.38352357,6.219240215,2157.5310719999998,SL
3000,17751,231932,2016,R,72,85.37546312,-8.030238877999999,3.4659759410000004,-1.735617921,5.489647872999999,6.194189382999999,1794.144639,FB
3001,16741,231932,2015,R,72,82.70928675,-0.7477756879999999,-5.65922724,-1.703529988,5.151883783,6.208859851000001,2249.9619,SL
3002,9036,221958,2016,L,73,88.69044429,10.10979131,11.12144115,2.665678085,6.236863556,6.382181021,2091.2763489999998,CU
3003,1491,231932,2015,R,72,90.27541983,-5.938820019,2.9124074460000005,-1.6407182790000001,5.417325381,6.190705526,1907.2564079999997,CU
3004,3435,231932,2015,R,72,81.42683567,2.911612636,-3.150526976,-1.6880372680000002,5.401326693,6.263106706,2223.198509,SL
3005,19078,231932,2016,R,72,76.98634348,-3.5342184469999998,-4.188287811,-1.8259271540000002,5.210190851,6.202774571,2208.5004289999997,SL
